tier,volume_min,volume_max,staking_min,discount_volume,discount_staking,discount_both,condition
Pro 1,0.0,1000000.0,0.0,0.0,0.0,0.0,OR
Pro 2,1000000.0,2000000.0,100.0,0.02,0.02,0.025,OR
Pro 3,2000000.0,3000000.0,500.0,0.04,0.04,0.045,OR
Pro 4,3000000.0,5000000.0,1000.0,0.08,0.08,0.09,OR
Pro 5,5000000.0,10000000.0,2000.0,0.1,0.1,0.125,OR
Pro 6,10000000.0,20000000.0,5000.0,0.15,0.15,0.175,OR
Pro 7,20000000.0,50000000.0,10000.0,0.2,0.2,0.225,OR
Pro 8,50000000.0,100000000.0,20000.0,0.25,0.25,0.275,OR
Pro 9,100000000.0,200000000.0,50000.0,0.3,0.3,0.325,OR
Pro 10,200000000.0,,100000.0,0.35,0.35,0.4,OR
